,money,country,city,response
193,0,Peru,arequipa,4.0
194,0,Peru,chiclayo,20.0
195,0,Peru,cusco,12.5
196,0,Peru,iquitos,12.5
197,0,Peru,lima,11.25
198,0,Peru,piura,27.77777777777778
199,0,Peru,trujillo,20.833333333333332
548,1,Peru,arequipa,16.666666666666668
549,1,Peru,chiclayo,5.0
550,1,Peru,cusco,23.529411764705884
551,1,Peru,iquitos,0.0
552,1,Peru,lima,15.0
553,1,Peru,piura,16.666666666666668
554,1,Peru,trujillo,12.0
