,money,country,city,response
86,0,Ghana,accra,26.19047619047619
87,0,Ghana,ashaiman,26.666666666666668
88,0,Ghana,kumasi,10.0
89,0,Ghana,sekondi,5.555555555555555
90,0,Ghana,sunyani,14.285714285714286
91,0,Ghana,tamale,20.0
441,1,Ghana,accra,28.571428571428573
442,1,Ghana,ashaiman,13.333333333333334
443,1,Ghana,kumasi,20.0
444,1,Ghana,sekondi,15.789473684210526
445,1,Ghana,sunyani,15.384615384615385
446,1,Ghana,tamale,28.571428571428573
