id,age,age40,category,city,country,institutions,male,money,response
103019,4,1,5,Rijeka,Croatia,4,1,1,0
103039,2,0,1,Rijeka,Croatia,0,0,1,100
103036,6,1,5,Rijeka,Croatia,4,1,1,100
103007,3,0,3,Rijeka,Croatia,2,1,0,0
103017,3,0,5,Rijeka,Croatia,4,0,1,0
103032,3,0,2,Rijeka,Croatia,1,0,1,100
103025,5,1,2,Rijeka,Croatia,1,0,1,0
103013,3,0,5,Rijeka,Croatia,4,1,0,0
103041,4,1,5,Rijeka,Croatia,4,0,0,0
103045,4,1,4,Rijeka,Croatia,3,0,0,0
103033,3,0,1,Rijeka,Croatia,0,0,1,0
103023,4,1,1,Rijeka,Croatia,0,0,1,0
103028,3,0,1,Rijeka,Croatia,0,0,0,100
103005,5,1,1,Rijeka,Croatia,0,1,0,0
103009,4,1,4,Rijeka,Croatia,3,0,1,0
103035,4,1,2,Rijeka,Croatia,1,0,0,0
103008,4,1,3,Rijeka,Croatia,2,1,1,100
103031,6,1,3,Rijeka,Croatia,2,0,1,100
103040,2,0,3,Rijeka,Croatia,2,0,1,0
103021,3,0,1,Rijeka,Croatia,0,0,1,100
103020,3,0,5,Rijeka,Croatia,4,1,0,100
103012,5,1,3,Rijeka,Croatia,2,1,0,100
103038,4,1,3,Rijeka,Croatia,2,1,1,100
103026,4,1,5,Rijeka,Croatia,4,0,1,0
103014,5,1,5,Rijeka,Croatia,4,1,0,0
103011,3,0,5,Rijeka,Croatia,4,0,1,0
103030,5,1,5,Rijeka,Croatia,4,0,1,100
103003,3,0,4,Rijeka,Croatia,3,0,0,100
103002,3,0,5,Rijeka,Croatia,4,0,0,100
103022,4,1,1,Rijeka,Croatia,0,1,0,100
103029,4,1,4,Rijeka,Croatia,3,0,1,0
103006,5,1,5,Rijeka,Croatia,4,1,1,100
103010,3,0,4,Rijeka,Croatia,3,0,1,100
104026,4,1,3,Zagreb,Croatia,2,0,1,0
104118,5,1,2,Zagreb,Croatia,1,0,0,100
104010,5,1,2,Zagreb,Croatia,1,0,1,0
104093,2,0,1,Zagreb,Croatia,0,0,1,100
104045,3,0,3,Zagreb,Croatia,2,1,0,100
104051,3,0,5,Zagreb,Croatia,4,1,1,100
104077,4,1,2,Zagreb,Croatia,1,0,1,100
104043,4,1,1,Zagreb,Croatia,0,1,0,100
104084,3,0,2,Zagreb,Croatia,1,0,1,0
104054,2,0,1,Zagreb,Croatia,0,0,0,100
104031,4,1,5,Zagreb,Croatia,4,1,0,0
104090,4,1,5,Zagreb,Croatia,4,1,1,0
104055,5,1,2,Zagreb,Croatia,1,1,1,100
104086,2,0,1,Zagreb,Croatia,0,1,1,0
104105,2,0,3,Zagreb,Croatia,2,0,1,100
104012,3,0,4,Zagreb,Croatia,3,0,1,0
104067,4,1,2,Zagreb,Croatia,1,0,1,100
104011,4,1,3,Zagreb,Croatia,2,1,0,100
104015,5,1,5,Zagreb,Croatia,4,1,0,0
104098,3,0,2,Zagreb,Croatia,1,0,0,0
104117,5,1,4,Zagreb,Croatia,3,0,1,0
104059,4,1,4,Zagreb,Croatia,3,1,0,100
